tweet_id,user_id,text,timestamp,retweet_count,like_count,reply_count,has_url,has_hashtag,is_retweet,account_type
1001325198805,105670,The mainstream media won't report this: https://tinyurl.com/abc123 #exposing #truth #fff #giveaway,2023-12-19 06:54:00,2,4,2,1,1,0,bot
1077167594086,105585,Join our network and earn passive income! https://tinyurl.com/abc123 #mlm #business #success #offer #investment #subscribe,2023-12-18 19:42:00,0,0,0,1,1,0,bot
1033575154711,109951,Something big is happening with healthcare and nobody is talking about it. #together #fight,2023-10-14 23:00:00,1,17,0,0,1,0,suspicious
1040838380444,104572,Just had the best coffee - starting my day right!,2023-10-14 00:00:00,42,1,2,0,0,0,human
1022902224329,109597,They're trying to silence voices like ours. Share this: http://click.here/now,2023-11-03 11:00:00,5,0,6,1,0,0,suspicious
1016479716513,107149,Like this tweet if you support our veterans! RT to spread the word! #win #money #income,2023-12-09 23:36:00,0,0,3,0,1,0,bot
1027653192493,101205,Feeling grateful today for small things. Life is beautiful. #happy #motivation,2023-11-30 00:00:00,2,260,0,0,1,0,human
1065645530641,101142,Happy birthday to my best friend! You deserve the world. #family,2019-09-07 00:00:00,5,76,0,0,1,0,human
1088798297230,108274,Double your investment in 30 days! Guaranteed! https://earn.money/now #crypto #money #free #giveaway #subscribe,2023-12-04 16:09:00,0,9,2,1,1,0,bot
1075043204937,106182,Double your investment in 30 days! Guaranteed! https://earn.money/now #crypto #money #win #income,2023-12-04 23:05:00,0,195,0,1,1,0,bot
1095657748436,106903,SHARE THIS NOW before it gets deleted! https://tinyurl.com/abc123 #censored #truth #banned #limitedtime,2023-12-02 15:40:00,3,30,0,1,1,0,bot
1074918662429,108145,Solana to the moon! Buy before it's too late! http://bit.ly/xz9f2,2023-12-11 16:52:00,14,46,3,1,0,0,bot
1057165719901,108569,They're trying to silence voices like ours. Share this: https://earn.money/now,2023-10-09 07:00:00,0,3,0,1,0,0,suspicious
1084739452113,106846,Follow me and I'll follow back! 100% guaranteed! #followback #follow #fff,2023-12-13 09:26:00,0,4,1,0,1,0,bot
1081685671171,107074,Join our network and earn passive income! https://tinyurl.com/abc123 #mlm #business #success,2023-12-30 22:06:00,1,8,0,1,1,0,bot
1063301301449,107599,I just earned $500 today working from home! You can too! https://tinyurl.com/abc123,2023-12-14 07:02:00,2,0,0,1,0,0,bot
1061970444327,105746,100 people are making money with this secret: http://bit.ly/xz9f2 #wealth #rich #win,2023-12-04 11:29:00,4,0,1,1,1,0,bot
1051164210034,108253,Like and retweet for a chance to WIN $1000! Follow us first! #giveaway #trending #win,2023-12-29 05:32:00,2,22,0,0,1,0,bot
1040767480268,102900,Just rescued a puppy -- meet my new best friend!,2021-10-26 00:00:00,7,6,0,0,0,0,human
1092882506567,107403,Cryptocurrency tip: Bitcoin will moon soon! Invest now! https://earn.money/now #bitcoin,2023-12-29 07:30:00,0,9,0,1,1,0,bot
1021529837152,107500,New video just dropped! Don't miss it! https://tinyurl.com/abc123 #subscribe #youtube #limitedtime #trending,2023-12-30 07:53:00,0,62,1,1,1,0,bot
1077718132939,102147,Cooking dinner -- trying that new curry recipe I found last week.,2022-08-03 00:00:00,0,22,3,0,0,0,human
1098890090972,106231,Check out this incredible opportunity! http://click.here/now #money #crypto #investment #investment #giveaway #crypto,2023-12-11 09:46:00,7,5,2,1,1,0,bot
1088706987549,108143,The truth about social media they don't want you to know: https://tinyurl.com/abc123 #truth #exposed #money,2023-12-10 01:01:00,0,1,0,1,1,0,bot
1089844944661,109935,Major development in education! Sources confirm: https://tinyurl.com/abc123 #breaking #resist #movement,2023-12-03 21:00:00,0,33,1,1,1,0,suspicious
1071384504520,107162,SHARE THIS NOW before it gets deleted! http://bit.ly/xz9f2 #censored #truth #banned #giveaway,2023-12-30 00:59:00,10,0,1,1,1,0,bot
1055823829539,106366,Check out this incredible opportunity! http://bit.ly/xz9f2 #money #crypto #investment,2023-12-05 01:16:00,10,1,0,1,1,0,bot
1018565257430,106825,BREAKING: healthcare is trending NOW! See the full story: http://bit.ly/xz9f2 #follow,2023-12-25 15:09:00,0,0,3,1,1,0,bot
1053587413766,108466,Sign up now and get MacBook completely FREE! Limited offer: https://earn.money/now,2023-12-15 04:14:00,1,282,1,1,0,0,bot
1064604179167,108247,New video just dropped! Don't miss it! https://tinyurl.com/abc123 #subscribe #youtube #trending,2023-12-29 06:25:00,2,8,0,1,1,0,bot
1075867035062,106264,Get more followers instantly! Click here: http://bit.ly/xz9f2 #socialmedia #growth,2023-12-04 01:12:00,0,0,0,1,1,0,bot
1039627530982,106866,Sign up now and get gift card completely FREE! Limited offer: https://earn.money/now #offer #win,2023-12-27 09:46:00,0,28,0,1,1,0,bot
1052440109671,108429,FREE AirPods -- just complete this survey: http://click.here/now #free #win #giveaway #giveaway,2023-12-18 19:52:00,13,3,0,1,1,0,bot
1040784692045,107949,Get more followers instantly! Click here: http://click.here/now #socialmedia #growth #win,2023-12-11 05:26:00,12,3,11,1,1,0,bot
1066646194832,108061,Like and retweet for a chance to WIN $1000! Follow us first! #giveaway #limitedtime,2023-12-01 18:44:00,2,3,0,0,1,0,bot
1025402945937,104079,Just rescued a puppy -- meet my new best friend! #fitness,2023-12-31 00:00:00,1,9,0,0,1,0,human
1079309162688,107423,AMAZING DEAL! Get AirPods for FREE! Click here: http://click.here/now #ad #free #win #free #fff #trending,2023-12-10 16:55:00,0,17,2,1,1,0,bot
1040675703151,102070,Just had the best coffee - starting my day right! #food,2019-04-06 00:00:00,1,10,0,0,1,0,human
1061756068318,106398,XRP to the moon! Buy before it's too late! http://bit.ly/xz9f2 #deal,2023-12-22 23:31:00,1,5,5,1,1,0,bot
1066434035933,105268,VOTE for the real winner! Share this with everyone you know! #vote #election,2023-12-01 08:47:00,0,0,4,0,1,0,bot
1091221713939,107471,Join our network and earn passive income! http://click.here/now #mlm #business #success,2023-12-10 00:47:00,0,0,3,1,1,0,bot
1096094876786,109985,Pelosi exposed! The truth finally comes out: https://tinyurl.com/abc123 #exposed #news #truth,2023-10-25 19:00:00,14,1,1,1,1,0,suspicious
1037061043690,107103,Amazing skin care results in 7 days! https://earn.money/now #beauty #skincare #results #crypto #trending,2023-12-14 10:14:00,1,1,0,1,1,0,bot
1018019751077,101969,Movie night with the family -- watching Oppenheimer for the 3rd time haha #photography #coffee,2020-10-20 00:00:00,15,0,1,0,1,0,human
1061509069560,107318,Like and retweet for a chance to WIN $1000! Follow us first! #giveaway #deal #fff #crypto,2023-12-15 23:25:00,0,0,2,0,1,0,bot
1077472636915,106337,Sign up now and get subscription completely FREE! Limited offer: https://earn.money/now #viral #deal,2023-12-08 15:34:00,20,8,1,1,1,0,bot
1097213832939,103500,Shoutout to everyone grinding hard this week. You've got this! #friends,2023-10-24 00:00:00,0,0,1,0,1,0,human
1067778446102,106993,Buy followers cheap and fast! Best prices guaranteed! http://bit.ly/xz9f2 #followers #deal #giveaway,2023-12-01 22:27:00,16,0,0,1,1,0,bot
1082057600747,108051,Hot stock tip: AMC is about to explode! http://click.here/now #stocks #investing,2023-12-03 22:09:00,41,0,9,1,1,0,bot
1028798139038,104377,Happy birthday to my best friend! You deserve the world. #coffee #workout,2023-08-20 00:00:00,0,10,2,0,1,0,human
1081592952185,108074,Buy followers cheap and fast! Best prices guaranteed! https://earn.money/now #followers #investment #follow #deal,2023-12-07 20:42:00,11,6,0,1,1,0,bot
1064878039847,106716,Like and retweet for a chance to WIN $1000! Follow us first! #giveaway,2023-12-21 15:32:00,1,14,1,0,1,0,bot
1000847042877,107626,Hot stock tip: AMC is about to explode! https://earn.money/now #stocks #investing #fff #deal,2023-12-30 07:54:00,5,1,0,1,1,0,bot
1050222011913,109453,Interesting perspective on crypto. Worth considering: http://click.here/now #exposed,2023-09-26 15:00:00,0,0,1,1,1,0,suspicious
1035715985535,100300,The sunset today was absolutely stunning #nature #photography #cooking,2018-06-23 00:00:00,0,13,1,0,1,0,human
1019935212952,108683,New research shows The election was stolen. Full details: http://click.here/now #news,2023-11-20 17:00:00,0,0,0,1,1,0,suspicious
1063409915730,107179,Like this tweet if you support animal rights! RT to spread the word! #follow,2023-12-07 23:09:00,1,0,0,0,1,0,bot
1046466827085,106075,Follow me and I'll follow back! 100% guaranteed! #followback #follow #fff #trending,2023-12-19 04:14:00,2,0,0,0,1,0,bot
1009326148361,108630,Major development in education! Sources confirm: http://bit.ly/xz9f2 #breaking #urgent #freedom,2023-10-05 10:00:00,6,0,3,1,1,0,suspicious
1042920092676,105735,AMAZING DEAL! Get subscription for FREE! Click here: https://tinyurl.com/abc123 #ad #free #win #bitcoin #money,2023-12-21 05:50:00,9,8,0,1,1,0,bot
1065100617837,108560,Interesting perspective on AI. Worth considering: http://bit.ly/xz9f2 #truth #news,2023-11-06 12:00:00,1,11,1,1,1,0,suspicious
1006960232503,107013,FREE AirPods -- just complete this survey: http://click.here/now #free #win #giveaway #viral,2023-12-30 22:12:00,0,5,1,1,1,0,bot
1031316989298,107299,Check out this incredible opportunity! http://click.here/now #money #crypto #investment #trending #free,2023-12-19 17:27:00,7,0,0,1,1,0,bot
1061864215294,107026,I just earned $500 today working from home! You can too! http://click.here/now #offer,2023-12-02 05:04:00,0,1,0,1,1,0,bot
1028267465825,107181,Follow me and I'll follow back! 100% guaranteed! #followback #follow #fff #follow #trending,2023-12-09 11:32:00,0,0,0,0,1,0,bot
1003246819582,103204,Starting a new habit: journaling every morning. Day 1 done. #happy,2017-04-12 00:00:00,50,24,11,0,1,0,human
1032680498315,106093,Sign up now and get MacBook completely FREE! Limited offer: http://click.here/now #win,2023-12-31 06:14:00,0,12,2,1,1,0,bot
1018717249778,102884,"Just donated to Doctors Without Borders -- if you can, please do too. Every little helps. #cooking #happy",2021-11-27 00:00:00,0,0,0,0,1,0,human
1091605035456,109786,Important message about education -- please share widely: https://tinyurl.com/abc123 #breaking #exposed,2023-12-04 07:00:00,4,6,1,1,1,0,suspicious
1063462155449,106733,Sign up now and get AirPods completely FREE! Limited offer: http://click.here/now,2023-12-13 20:40:00,3,127,1,1,0,0,bot
