user_id,label
107606,1
104843,0
110000,2
107924,1
106535,1
108269,1
103689,0
107191,1
109604,2
107808,1
101942,0
104282,0
100397,0
107117,1
105402,1
104984,0
105047,1
100394,0
109493,2
100429,0
108455,1
103891,0
108914,2
109616,2
103661,0
101452,0
109748,2
104233,0
102118,0
105216,1
104296,0
105033,1
106160,1
108845,2
107365,1
105148,1
109685,2
101175,0
107742,1
109340,2
100956,0
100572,0
101432,0
102542,0
104688,0
102666,0
105795,1
108835,2
103383,0
102628,0
106048,1
104268,0
100679,0
100687,0
103382,0
108523,2
109257,2
105675,1
101582,0
109230,2
102660,0
103164,0
101757,0
104002,0
104766,0
109519,2
103417,0
100101,0
102515,0
100023,0
101949,0
107130,1
101024,0
109503,2
103422,0
105674,1
106305,1
105139,1
103773,0
107946,1
109491,2
106918,1
105283,1
102721,0
109140,2
106145,1
100959,0
100588,0
108210,1
106409,1
104834,0
101935,0
101631,0
107145,1
102345,0
100737,0
100732,0
103178,0
102455,0
108525,2
101927,0
108301,1
109753,2
108280,1
107387,1
100585,0
101427,0
101648,0
107022,1
105657,1
101451,0
103772,0
102775,0
102091,0
108544,2
105329,1
109316,2
108076,1
107880,1
106691,1
109365,2
101084,0
101138,0
103928,0
100839,0
105058,1
100240,0
106743,1
103447,0
102900,0
101986,0
101599,0
102044,0
106574,1
107974,1
107765,1
109638,2
109744,2
101638,0
108326,1
100713,0
102859,0
101608,0
101553,0
105614,1
102155,0
100335,0
105006,1
101189,0
103820,0
106721,1
104055,0
105432,1
109173,2
100343,0
101276,0
108854,2
108755,2
104851,0
102644,0
102662,0
107775,1
101794,0
106843,1
106503,1
101103,0
107905,1
109631,2
105186,1
108793,2
101449,0
108439,1
109615,2
107677,1
106146,1
107668,1
108528,2
107069,1
107058,1
107110,1
107929,1
109221,2
105797,1
108748,2
106694,1
105277,1
101923,0
100378,0
106314,1
101205,0
106794,1
107891,1
105532,1
104680,0
104216,0
104880,0
107786,1
106717,1
106156,1
104336,0
106698,1
107585,1
106713,1
107893,1
103696,0
104417,0
106287,1
104291,0
102623,0
102475,0
109497,2
107235,1
108075,1
106820,1
105914,1
109429,2
107048,1
103465,0
109505,2
106705,1
102807,0
107874,1
100443,0
105049,1
104753,0
102095,0
108368,1
100470,0
107331,1
108245,1
101754,0
108722,2
108466,1
109763,2
108236,1
106096,1
104773,0
104419,0
107685,1
103797,0
100540,0
105285,1
105112,1
104450,0
101563,0
104651,0
102596,0
100934,0
102678,0
106241,1
109966,2
100311,0
108185,1
108117,1
108125,1
108275,1
107421,1
106023,1
103904,0
102670,0
106757,1
100391,0
104000,0
108975,2
108540,2
104618,0
108764,2
105745,1
107385,1
101816,0
100731,0
109867,2
101858,0
109992,2
107476,1
109334,2
105589,1
101387,0
100625,0
101615,0
107258,1
108174,1
100586,0
101097,0
104292,0
109453,2
100571,0
109490,2
106882,1
107348,1
105274,1
100628,0
100253,0
109034,2
102476,0
105101,1
102891,0
106929,1
105270,1
108327,1
109617,2
107289,1
107961,1
101193,0
106186,1
105390,1
104852,0
106424,1
102977,0
109036,2
104052,0
101621,0
104058,0
103731,0
105485,1
108653,2
108702,2
105439,1
106958,1
107098,1
101217,0
107705,1
104207,0
105108,1
107173,1
107495,1
103943,0
108229,1
104599,0
106366,1
109390,2
105906,1
104357,0
104127,0
105708,1
109026,2
107774,1
108692,2
106398,1
102981,0
107445,1
106985,1
103810,0
101361,0
107172,1
107997,1
105204,1
107003,1
107010,1
104782,0
108484,1
100003,0
103789,0
104056,0
106756,1
107523,1
107965,1
101506,0
100244,0
102863,0
102755,0
105921,1
101682,0
106977,1
104863,0
109165,2
100248,0
108923,2
108171,1
104827,0
109785,2
107672,1
109808,2
105514,1
105045,1
108234,1
105163,1
107379,1
108192,1
108499,1
100793,0
109090,2
100386,0
105990,1
100007,0
107806,1
105448,1
105280,1
105740,1
106732,1
103669,0
101578,0
100663,0
101286,0
101093,0
100891,0
100010,0
105629,1
109593,2
104359,0
103909,0
106093,1
108618,2
107550,1
109031,2
101868,0
103589,0
102584,0
109247,2
100452,0
106654,1
101214,0
103972,0
102436,0
103252,0
103371,0
104059,0
100945,0
103847,0
107587,1
108083,1
105890,1
109380,2
100155,0
109233,2
102671,0
103309,0
108387,1
102503,0
100907,0
109177,2
109012,2
105249,1
109236,2
101847,0
104407,0
100564,0
103686,0
107219,1
100361,0
107262,1
109654,2
106313,1
106831,1
100461,0
106203,1
107060,1
100161,0
104935,0
104102,0
108396,1
105298,1
100721,0
109384,2
103039,0
106611,1
104361,0
101625,0
101229,0
106458,1
102608,0
109048,2
109418,2
104724,0
107790,1
101886,0
105065,1
102058,0
107843,1
100932,0
104202,0
108092,1
107080,1
107818,1
102032,0
102944,0
108026,1
105905,1
109857,2
103377,0
106147,1
106708,1
108928,2
103327,0
104878,0
100723,0
107183,1
103579,0
101575,0
107515,1
105611,1
104541,0
109333,2
104096,0
100747,0
107004,1
109136,2
103523,0
100695,0
108274,1
109013,2
108292,1
108405,1
106297,1
109863,2
100639,0
109614,2
