source_user_id,target_user_id,interaction_type,weight,timestamp
109876,108546,replies,0.492,2023-09-09
107662,105506,follows,0.984,2023-09-15
107031,100161,follows,0.31,2023-09-06
102162,101967,retweets,0.818,2023-10-20
106343,105444,replies,0.863,2023-07-02
109552,106614,retweets,0.816,2023-08-14
109011,106309,mentions,0.237,2023-07-10
106144,101560,retweets,0.172,2023-05-19
100244,100891,follows,0.674,2023-05-26
106279,108179,retweets,0.79,2023-07-13
102617,103830,retweets,0.299,2023-12-03
104870,102426,retweets,0.761,2023-11-24
107231,107457,retweets,0.769,2023-09-03
105088,101597,replies,0.498,2023-04-24
101488,101856,retweets,0.218,2023-03-02
100889,102195,retweets,0.505,2023-10-25
102848,100590,retweets,0.762,2023-04-06
104795,102514,retweets,0.833,2023-07-01
102688,102678,follows,0.623,2023-02-27
104423,100577,follows,0.758,2023-07-18
105436,101459,retweets,0.311,2023-08-20
103943,100992,follows,0.651,2023-03-26
102620,104362,replies,0.597,2023-11-11
102708,103014,follows,0.236,2023-09-12
105120,103080,retweets,0.696,2023-07-25
100287,104430,follows,0.628,2023-12-05
101613,103995,replies,0.224,2023-03-14
102426,106769,replies,0.686,2023-07-15
108696,105133,replies,0.274,2023-09-18
107426,105081,follows,0.877,2023-01-19
108709,107493,retweets,0.523,2023-09-15
108074,108957,retweets,0.745,2023-07-02
103083,103791,replies,0.71,2023-09-22
105457,101110,retweets,0.372,2023-05-12
107686,102625,retweets,0.899,2023-08-07
109173,101563,mentions,0.541,2023-10-30
105146,107645,follows,0.884,2023-04-29
106667,106047,follows,0.124,2023-10-26
109619,109964,retweets,0.712,2023-03-03
102859,101732,follows,0.151,2023-07-24
104450,100045,follows,0.676,2023-03-30
104938,102449,retweets,0.77,2023-03-02
106775,105663,retweets,0.92,2023-07-23
105834,106933,follows,0.772,2023-10-29
109249,100362,replies,0.371,2023-06-03
102279,104320,retweets,0.647,2023-06-17
108469,106969,retweets,0.523,2023-05-17
102064,102016,retweets,0.15,2023-03-21
106431,102521,follows,0.945,2023-10-29
